Gene stable ID,Gene name,Human gene stable ID,Human gene name
ENSPMRG00000000107,SLC15A3,ENSG00000110446,SLC15A3
ENSPMRG00000000108,,,
ENSPMRG00000000109,MPPED2,ENSG00000066382,MPPED2
ENSPMRG00000000110,ORC4,ENSG00000115947,ORC4
ENSPMRG00000000111,TC2N,ENSG00000165929,TC2N
ENSPMRG00000000112,,,
ENSPMRG00000000114,DYTN,ENSG00000232125,DYTN
ENSPMRG00000000115,PPIG,ENSG00000138398,PPIG
ENSPMRG00000000116,WIPF1,ENSG00000115935,WIPF1
ENSPMRG00000000117,INO80,ENSG00000128908,INO80
ENSPMRG00000000118,SEC22A,ENSG00000121542,SEC22A
ENSPMRG00000000119,INSC,ENSG00000188487,INSC
ENSPMRG00000000120,SLC39A11,ENSG00000133195,SLC39A11
ENSPMRG00000000121,,,
ENSPMRG00000000122,,,
ENSPMRG00000000123,TECPR2,ENSG00000196663,TECPR2
ENSPMRG00000000124,MBD5,ENSG00000204406,MBD5
ENSPMRG00000000125,,ENSG00000133962,CATSPERB
ENSPMRG00000000126,TMEM132A,ENSG00000006118,TMEM132A
ENSPMRG00000000127,,,
ENSPMRG00000000128,SLC39A10,ENSG00000196950,SLC39A10
ENSPMRG00000000129,FAM171B,ENSG00000144369,FAM171B
ENSPMRG00000000130,,,
ENSPMRG00000000131,,ENSG00000158079,PTPDC1
ENSPMRG00000000132,API5,ENSG00000166181,API5
ENSPMRG00000000133,,ENSG00000145911,N4BP3
ENSPMRG00000000134,,ENSG00000138400,MDH1B
ENSPMRG00000000135,GPR155,ENSG00000163328,GPR155
ENSPMRG00000000136,,,
ENSPMRG00000000137,EPC2,ENSG00000135999,EPC2
ENSPMRG00000000138,,,
ENSPMRG00000000139,BARX1,ENSG00000131668,BARX1
ENSPMRG00000000140,TMEM109,ENSG00000110108,TMEM109
ENSPMRG00000000141,,,
ENSPMRG00000000142,IRF7,ENSG00000185507,IRF7
ENSPMRG00000000143,,ENSG00000138400,MDH1B
ENSPMRG00000000144,,,
ENSPMRG00000000145,RMND5B,ENSG00000145916,RMND5B
ENSPMRG00000000146,,,
ENSPMRG00000000147,LRRC4C,ENSG00000148948,LRRC4C
ENSPMRG00000000148,,,
ENSPMRG00000000149,FASTKD2,ENSG00000118246,FASTKD2
ENSPMRG00000000150,,,
ENSPMRG00000000151,SOX6,ENSG00000110693,SOX6
ENSPMRG00000000152,TFCP2,ENSG00000135457,TFCP2
ENSPMRG00000000153,,,
ENSPMRG00000000154,,,
ENSPMRG00000000155,EXD1,ENSG00000178997,EXD1
ENSPMRG00000000156,,ENSG00000196230,TUBB
ENSPMRG00000000157,NHP2,ENSG00000145912,NHP2
ENSPMRG00000000158,PRPF19,ENSG00000110107,PRPF19
ENSPMRG00000000159,,ENSG00000124721,DNAH8
ENSPMRG00000000160,PAIP2,ENSG00000120727,PAIP2
ENSPMRG00000000161,,,
ENSPMRG00000000162,,,
ENSPMRG00000000163,,ENSG00000133962,CATSPERB
ENSPMRG00000000164,U6,ENSG00000212599,RNU6-279P
ENSPMRG00000000165,SCRN3,ENSG00000144306,SCRN3
ENSPMRG00000000166,,ENSG00000196437,ZNF569
ENSPMRG00000000167,COG1,ENSG00000166685,COG1
ENSPMRG00000000168,,,
ENSPMRG00000000169,,,
ENSPMRG00000000170,,,
ENSPMRG00000000171,,ENSG00000006194,ZNF263
ENSPMRG00000000171,,ENSG00000290183,
ENSPMRG00000000172,TULP4,ENSG00000130338,TULP4
ENSPMRG00000000173,RAG2,ENSG00000175097,RAG2
ENSPMRG00000000174,,,
ENSPMRG00000000175,MATR3,ENSG00000015479,MATR3
ENSPMRG00000000176,,,
ENSPMRG00000000177,,,
ENSPMRG00000000178,,ENSG00000124721,DNAH8
ENSPMRG00000000179,,ENSG00000149506,ZP1
ENSPMRG00000000180,,,
ENSPMRG00000000181,,,
ENSPMRG00000000182,,,
ENSPMRG00000000183,,,
ENSPMRG00000000184,RAG1,ENSG00000166349,RAG1
ENSPMRG00000000185,,ENSG00000124613,ZNF391
ENSPMRG00000000185,,ENSG00000176293,ZNF135
ENSPMRG00000000185,,ENSG00000226314,ZKSCAN8P1
ENSPMRG00000000185,,ENSG00000186446,ZNF501
ENSPMRG00000000185,,ENSG00000166526,ZNF3
ENSPMRG00000000186,CIR1,ENSG00000138433,CIR1
ENSPMRG00000000187,CHP1,ENSG00000187446,CHP1
ENSPMRG00000000188,KLF7,ENSG00000118263,KLF7
ENSPMRG00000000189,U2,,
ENSPMRG00000000190,,,
ENSPMRG00000000191,FLOT1,ENSG00000137312,FLOT1
ENSPMRG00000000192,,,
ENSPMRG00000000193,,,
ENSPMRG00000000194,,,
ENSPMRG00000000195,,ENSG00000182518,VCF2
ENSPMRG00000000196,,,
ENSPMRG00000000197,C11orf58,ENSG00000110696,C11orf58
ENSPMRG00000000198,PHRF1,ENSG00000070047,PHRF1
ENSPMRG00000000199,,ENSG00000198732,SMOC1
ENSPMRG00000000200,PHF2,ENSG00000197724,PHF2
ENSPMRG00000000201,CWF19L2,ENSG00000152404,CWF19L2
ENSPMRG00000000202,,ENSG00000253313,C1orf210
ENSPMRG00000000203,,,
ENSPMRG00000000204,TRIM9,ENSG00000100505,TRIM9
ENSPMRG00000000205,WNT8B,ENSG00000075290,WNT8B
ENSPMRG00000000206,DCDC1,ENSG00000170959,DCDC1
ENSPMRG00000000207,EGLN1,ENSG00000135766,EGLN1
ENSPMRG00000000208,RP2,ENSG00000102218,RP2
ENSPMRG00000000209,,,
ENSPMRG00000000210,,,
ENSPMRG00000000211,SIL1,ENSG00000120725,SIL1
ENSPMRG00000000212,EIF2AK2,ENSG00000055332,EIF2AK2
ENSPMRG00000000213,,,
ENSPMRG00000000214,,,
ENSPMRG00000000215,BAAT,ENSG00000136881,BAAT
ENSPMRG00000000216,,,
ENSPMRG00000000217,,,
ENSPMRG00000000218,,,
ENSPMRG00000000219,SP9,ENSG00000217236,SP9
ENSPMRG00000000220,,,
ENSPMRG00000000221,PRR5L,ENSG00000135362,PRR5L
ENSPMRG00000000222,SFXN3,ENSG00000107819,SFXN3
ENSPMRG00000000223,,,
ENSPMRG00000000224,,,
ENSPMRG00000000225,,,
ENSPMRG00000000226,U5,ENSG00000251722,RNU5E-3P
ENSPMRG00000000227,,ENSG00000110104,CCDC86
ENSPMRG00000000228,TMEM181,ENSG00000146433,TMEM181
ENSPMRG00000000229,,,
ENSPMRG00000000230,TRUB1,ENSG00000165832,TRUB1
ENSPMRG00000000231,,ENSG00000233757,ZNF892
ENSPMRG00000000232,,,
ENSPMRG00000000233,CREB1,ENSG00000118260,CREB1
ENSPMRG00000000234,,ENSG00000143061,IGSF3
ENSPMRG00000000235,,,
ENSPMRG00000000236,,,
ENSPMRG00000000237,SCARA3,ENSG00000168077,SCARA3
ENSPMRG00000000238,OIP5,ENSG00000104147,OIP5
ENSPMRG00000000239,NDUFB8,ENSG00000166136,NDUFB8
ENSPMRG00000000240,PCDH17,ENSG00000118946,PCDH17
ENSPMRG00000000241,CDC42EP4,ENSG00000179604,CDC42EP4
ENSPMRG00000000242,CTNNA1,ENSG00000044115,CTNNA1
ENSPMRG00000000243,,ENSG00000050327,ARHGEF5
ENSPMRG00000000244,,,
ENSPMRG00000000245,,,
ENSPMRG00000000246,RASSF7,ENSG00000099849,RASSF7
ENSPMRG00000000247,,,
ENSPMRG00000000248,,,
ENSPMRG00000000249,OLA1,ENSG00000138430,OLA1
ENSPMRG00000000250,ARHGEF17,ENSG00000110237,ARHGEF17
ENSPMRG00000000251,,,
ENSPMRG00000000252,,,
ENSPMRG00000000253,,ENSG00000107798,LIPA
ENSPMRG00000000254,,,
ENSPMRG00000000255,CSRNP2,ENSG00000110925,CSRNP2
ENSPMRG00000000256,GLP1R,ENSG00000112164,GLP1R
ENSPMRG00000000257,KAZALD1,ENSG00000107821,KAZALD1
ENSPMRG00000000258,TSNAX,ENSG00000116918,TSNAX
ENSPMRG00000000259,,,
ENSPMRG00000000260,,,
ENSPMRG00000000261,U4,ENSG00000201317,RNU4-59P
ENSPMRG00000000261,U4,ENSG00000199313,RNU4-82P
ENSPMRG00000000261,U4,ENSG00000222067,RNU4-86P
ENSPMRG00000000262,,,
ENSPMRG00000000263,,,
ENSPMRG00000000264,,,
ENSPMRG00000000265,,ENSG00000172457,OR9G4
ENSPMRG00000000266,COMMD9,ENSG00000110442,COMMD9
ENSPMRG00000000267,,,
ENSPMRG00000000268,,,
ENSPMRG00000000269,METTL21A,ENSG00000144401,METTL21A
ENSPMRG00000000270,PPP4R3A,ENSG00000100796,PPP4R3A
ENSPMRG00000000271,ALKBH8,ENSG00000137760,ALKBH8
ENSPMRG00000000272,,,
ENSPMRG00000000273,,ENSG00000137804,NUSAP1
ENSPMRG00000000274,,,
ENSPMRG00000000275,FAM120A,ENSG00000048828,FAM120A
ENSPMRG00000000276,,,
ENSPMRG00000000277,FHIP2A,ENSG00000151553,FHIP2A
ENSPMRG00000000278,PLEKHA7,ENSG00000166689,PLEKHA7
ENSPMRG00000000279,,,
ENSPMRG00000000280,CCDC25,ENSG00000147419,CCDC25
ENSPMRG00000000281,,ENSG00000006194,ZNF263
ENSPMRG00000000281,,ENSG00000290183,
ENSPMRG00000000282,HIF1AN,ENSG00000166135,HIF1AN
ENSPMRG00000000283,,ENSG00000166959,MS4A8
ENSPMRG00000000284,,,
ENSPMRG00000000285,,ENSG00000143061,IGSF3
ENSPMRG00000000286,,ENSG00000160862,AZGP1
ENSPMRG00000000286,,ENSG00000010704,HFE
ENSPMRG00000000287,,,
ENSPMRG00000000288,,,
ENSPMRG00000000289,,ENSG00000146054,TRIM7
ENSPMRG00000000290,,,
ENSPMRG00000000291,NDUFAF1,ENSG00000137806,NDUFAF1
ENSPMRG00000000292,SP3,ENSG00000172845,SP3
ENSPMRG00000000293,,,
ENSPMRG00000000294,LRRTM2,ENSG00000146006,LRRTM2
ENSPMRG00000000295,,,
ENSPMRG00000000296,,,
ENSPMRG00000000297,SAYSD1,ENSG00000112167,SAYSD1
ENSPMRG00000000298,,,
ENSPMRG00000000299,ZBTB9,ENSG00000213588,ZBTB9
ENSPMRG00000000300,,,
ENSPMRG00000000301,ADPRH,ENSG00000144843,ADPRH
ENSPMRG00000000302,,,
ENSPMRG00000000303,LETMD1,ENSG00000050426,LETMD1
ENSPMRG00000000304,,ENSG00000166959,MS4A8
ENSPMRG00000000305,,,
ENSPMRG00000000306,LDLRAD3,ENSG00000179241,LDLRAD3
ENSPMRG00000000307,,,
ENSPMRG00000000308,,ENSG00000129084,PSMA1
ENSPMRG00000000309,TLX1,ENSG00000107807,TLX1
ENSPMRG00000000310,RTF1,ENSG00000137815,RTF1
ENSPMRG00000000311,,,
ENSPMRG00000000312,,,
ENSPMRG00000000313,,,
ENSPMRG00000000314,KCNK5,ENSG00000164626,KCNK5
ENSPMRG00000000315,,,
ENSPMRG00000000316,,,
ENSPMRG00000000317,,ENSG00000284209,CCNYL1B
ENSPMRG00000000317,,ENSG00000163249,CCNYL1
ENSPMRG00000000318,,,
ENSPMRG00000000319,ELMOD1,ENSG00000110675,ELMOD1
ENSPMRG00000000320,,ENSG00000166959,MS4A8
ENSPMRG00000000321,DISC1,ENSG00000162946,DISC1
ENSPMRG00000000322,,,
ENSPMRG00000000323,,,
ENSPMRG00000000324,,,
ENSPMRG00000000325,,,
ENSPMRG00000000326,,,
ENSPMRG00000000327,ESCO2,ENSG00000171320,ESCO2
ENSPMRG00000000328,DYNLT1,ENSG00000146425,DYNLT1
ENSPMRG00000000329,,,
ENSPMRG00000000330,,ENSG00000153774,CFDP1
ENSPMRG00000000331,TRIM44,ENSG00000166326,TRIM44
ENSPMRG00000000332,KCNK17,ENSG00000124780,KCNK17
ENSPMRG00000000333,SOS1,ENSG00000115904,SOS1
ENSPMRG00000000334,LBX1,ENSG00000138136,LBX1
ENSPMRG00000000335,,,
ENSPMRG00000000336,,,
ENSPMRG00000000337,,,
ENSPMRG00000000338,,,
ENSPMRG00000000339,,,
ENSPMRG00000000340,,,
ENSPMRG00000000341,,,
ENSPMRG00000000342,,ENSG00000166959,MS4A8
ENSPMRG00000000343,PAX2,ENSG00000075891,PAX2
ENSPMRG00000000344,,ENSG00000146054,TRIM7
ENSPMRG00000000345,,,
ENSPMRG00000000346,,ENSG00000138068,SULT6B1
ENSPMRG00000000347,KCNK16,ENSG00000095981,KCNK16
ENSPMRG00000000348,,ENSG00000100865,CINP
ENSPMRG00000000349,,,
ENSPMRG00000000350,,,
ENSPMRG00000000351,,,
ENSPMRG00000000352,,ENSG00000089682,RBM41
ENSPMRG00000000353,TIMMDC1,ENSG00000113845,TIMMDC1
ENSPMRG00000000354,,,
ENSPMRG00000000355,,ENSG00000107798,LIPA
ENSPMRG00000000356,FJX1,ENSG00000179431,FJX1
ENSPMRG00000000357,SYTL3,ENSG00000164674,SYTL3
ENSPMRG00000000358,ITPKA,ENSG00000137825,ITPKA
ENSPMRG00000000359,,,
ENSPMRG00000000360,,,
ENSPMRG00000000361,,ENSG00000166959,MS4A8
ENSPMRG00000000362,,ENSG00000204536,CCHCR1
ENSPMRG00000000363,PBK,ENSG00000168078,PBK
ENSPMRG00000000364,,ENSG00000267041,ZNF850
ENSPMRG00000000365,,,
ENSPMRG00000000366,,,
ENSPMRG00000000367,LRRC56,ENSG00000161328,LRRC56
ENSPMRG00000000368,,,
ENSPMRG00000000369,,,
ENSPMRG00000000370,NCF2,ENSG00000116701,NCF2
ENSPMRG00000000371,PAMR1,ENSG00000149090,PAMR1
ENSPMRG00000000372,,,
ENSPMRG00000000373,MOK,ENSG00000080823,MOK
ENSPMRG00000000374,PLEKHM3,ENSG00000178385,PLEKHM3
ENSPMRG00000000375,,ENSG00000214787,MS4A4E
ENSPMRG00000000375,,ENSG00000110079,MS4A4A
ENSPMRG00000000376,,,
ENSPMRG00000000377,,,
ENSPMRG00000000378,,,
ENSPMRG00000000379,,ENSG00000138068,SULT6B1
ENSPMRG00000000380,,,
ENSPMRG00000000381,,,
ENSPMRG00000000382,,,
ENSPMRG00000000383,,,
ENSPMRG00000000384,,,
ENSPMRG00000000385,POGLUT1,ENSG00000163389,POGLUT1
ENSPMRG00000000386,SLC35F2,ENSG00000110660,SLC35F2
ENSPMRG00000000387,,,
ENSPMRG00000000388,,ENSG00000173239,LIPM
ENSPMRG00000000389,CCDC88C,ENSG00000015133,CCDC88C
ENSPMRG00000000390,WDR20,ENSG00000140153,WDR20
ENSPMRG00000000391,,,
ENSPMRG00000000392,MS4A12,ENSG00000071203,MS4A12
ENSPMRG00000000393,,,
ENSPMRG00000000394,EZR,ENSG00000092820,EZR
ENSPMRG00000000395,DNAJC24,ENSG00000170946,DNAJC24
ENSPMRG00000000396,SELENOI,ENSG00000138018,SELENOI
ENSPMRG00000000397,,,
ENSPMRG00000000398,,,
ENSPMRG00000000399,,,
ENSPMRG00000000400,,,
ENSPMRG00000000401,,,
ENSPMRG00000000402,C2orf80,ENSG00000188674,C2orf80
ENSPMRG00000000403,,,
ENSPMRG00000000404,,,
ENSPMRG00000000405,HSPA9,ENSG00000113013,HSPA9
ENSPMRG00000000406,,,
ENSPMRG00000000407,,,
ENSPMRG00000000408,HRAS,ENSG00000174775,HRAS
ENSPMRG00000000409,,ENSG00000138068,SULT6B1
ENSPMRG00000000410,SLC19A1,ENSG00000173638,SLC19A1
ENSPMRG00000000411,CD9,ENSG00000010278,CD9
ENSPMRG00000000412,SLC1A2,ENSG00000110436,SLC1A2
ENSPMRG00000000413,,,
ENSPMRG00000000414,RHOT1,ENSG00000126858,RHOT1
ENSPMRG00000000415,,,
ENSPMRG00000000416,CDCA7,ENSG00000144354,CDCA7
ENSPMRG00000000417,TCF19,ENSG00000137310,TCF19
ENSPMRG00000000418,,,
ENSPMRG00000000419,IMMP1L,ENSG00000148950,IMMP1L
ENSPMRG00000000420,IDH1,ENSG00000138413,IDH1
ENSPMRG00000000421,,,
ENSPMRG00000000422,CUEDC2,ENSG00000107874,CUEDC2
ENSPMRG00000000423,,,
ENSPMRG00000000424,,,
ENSPMRG00000000425,,,
ENSPMRG00000000426,,,
ENSPMRG00000000427,,ENSG00000130363,RSPH3
ENSPMRG00000000428,SMG7,ENSG00000116698,SMG7
ENSPMRG00000000429,,ENSG00000107798,LIPA
ENSPMRG00000000430,SLC11A2,ENSG00000110911,SLC11A2
ENSPMRG00000000431,,,
ENSPMRG00000000432,,ENSG00000175899,A2M
ENSPMRG00000000433,RAB39A,ENSG00000179331,RAB39A
ENSPMRG00000000434,,,
ENSPMRG00000000435,,ENSG00000178222,RNF212
ENSPMRG00000000436,,,
ENSPMRG00000000437,,,
ENSPMRG00000000438,ELP4,ENSG00000109911,ELP4
ENSPMRG00000000439,,,
ENSPMRG00000000440,KIF6,ENSG00000164627,KIF6
ENSPMRG00000000441,WNK2,ENSG00000165238,WNK2
ENSPMRG00000000442,,,
ENSPMRG00000000443,,ENSG00000006194,ZNF263
ENSPMRG00000000443,,ENSG00000290183,
ENSPMRG00000000444,,,
ENSPMRG00000000445,,,
ENSPMRG00000000446,,ENSG00000160862,AZGP1
ENSPMRG00000000446,,ENSG00000010704,HFE
ENSPMRG00000000447,BTRC,ENSG00000166167,BTRC
ENSPMRG00000000448,,,
ENSPMRG00000000449,,ENSG00000213024,NUP62
ENSPMRG00000000450,FBXL15,ENSG00000107872,FBXL15
ENSPMRG00000000451,,,
ENSPMRG00000000452,,,
ENSPMRG00000000453,,,
ENSPMRG00000000454,BCL9,ENSG00000116128,BCL9
ENSPMRG00000000455,SNORD63,ENSG00000251987,SNORD63
ENSPMRG00000000455,SNORD63,ENSG00000206989,SNORD63
ENSPMRG00000000455,SNORD63,ENSG00000252112,SNORD63
ENSPMRG00000000455,SNORD63,ENSG00000222937,SNORD63B
ENSPMRG00000000456,,,
ENSPMRG00000000457,,,
ENSPMRG00000000458,,,
ENSPMRG00000000459,CUL5,ENSG00000166266,CUL5
ENSPMRG00000000460,,,
ENSPMRG00000000461,,,
ENSPMRG00000000462,,,
ENSPMRG00000000463,RPS13,ENSG00000110700,RPS13
ENSPMRG00000000464,SIPA1L2,ENSG00000116991,SIPA1L2
ENSPMRG00000000465,DDHD1,ENSG00000100523,DDHD1
ENSPMRG00000000466,LSM2,ENSG00000204392,LSM2
ENSPMRG00000000467,,,
ENSPMRG00000000468,TAGAP,ENSG00000164691,TAGAP
ENSPMRG00000000469,,,
ENSPMRG00000000470,ETF1,ENSG00000120705,ETF1
ENSPMRG00000000471,NANP,ENSG00000170191,NANP
ENSPMRG00000000472,,,
ENSPMRG00000000473,RNH1,ENSG00000023191,RNH1
ENSPMRG00000000474,,,
ENSPMRG00000000475,,,
ENSPMRG00000000476,,,
ENSPMRG00000000477,,ENSG00000173567,ADGRF3
ENSPMRG00000000478,SNORD14,ENSG00000202479,SNORD14
ENSPMRG00000000478,SNORD14,ENSG00000201403,SNORD14B
ENSPMRG00000000479,,,
ENSPMRG00000000480,,,
ENSPMRG00000000481,PAX6,ENSG00000007372,PAX6
ENSPMRG00000000482,,,
ENSPMRG00000000483,,ENSG00000237541,HLA-DQA2
ENSPMRG00000000483,,ENSG00000196735,HLA-DQA1
ENSPMRG00000000484,,,
ENSPMRG00000000485,,ENSG00000185745,IFIT1
ENSPMRG00000000485,,ENSG00000119917,IFIT3
ENSPMRG00000000485,,ENSG00000119922,IFIT2
ENSPMRG00000000485,,ENSG00000152778,IFIT5
ENSPMRG00000000485,,ENSG00000204010,IFIT1B
ENSPMRG00000000486,,,
ENSPMRG00000000487,,,
ENSPMRG00000000488,,ENSG00000175899,A2M
ENSPMRG00000000489,,ENSG00000124613,ZNF391
ENSPMRG00000000489,,ENSG00000176293,ZNF135
ENSPMRG00000000489,,ENSG00000226314,ZKSCAN8P1
ENSPMRG00000000489,,ENSG00000186446,ZNF501
ENSPMRG00000000489,,ENSG00000166526,ZNF3
ENSPMRG00000000490,,,
ENSPMRG00000000491,,,
ENSPMRG00000000492,,ENSG00000173567,ADGRF3
ENSPMRG00000000493,CHKA,ENSG00000110721,CHKA
ENSPMRG00000000494,,,
ENSPMRG00000000495,RPAP1,ENSG00000103932,RPAP1
ENSPMRG00000000496,PSD,ENSG00000059915,PSD
ENSPMRG00000000497,ADCY5,ENSG00000173175,ADCY5
ENSPMRG00000000498,,,
ENSPMRG00000000499,,ENSG00000185745,IFIT1
ENSPMRG00000000499,,ENSG00000119917,IFIT3
ENSPMRG00000000499,,ENSG00000119922,IFIT2
ENSPMRG00000000499,,ENSG00000152778,IFIT5
ENSPMRG00000000499,,ENSG00000204010,IFIT1B
ENSPMRG00000000500,HSP90AA1,ENSG00000080824,HSP90AA1
ENSPMRG00000000501,ACP6,ENSG00000162836,ACP6
ENSPMRG00000000502,,,
ENSPMRG00000000503,COL18A1,ENSG00000182871,COL18A1
ENSPMRG00000000504,,,
ENSPMRG00000000505,,,
ENSPMRG00000000506,P2RY6,ENSG00000171631,P2RY6
ENSPMRG00000000507,RMDN2,ENSG00000115841,RMDN2
ENSPMRG00000000508,HADHB,ENSG00000138029,HADHB
ENSPMRG00000000509,,,
ENSPMRG00000000510,KMT5B,ENSG00000110066,KMT5B
ENSPMRG00000000511,FBXW11,ENSG00000072803,FBXW11
ENSPMRG00000000512,RCN1,ENSG00000049449,RCN1
ENSPMRG00000000513,,ENSG00000188611,ASAH2
ENSPMRG00000000513,,ENSG00000204147,ASAH2B
ENSPMRG00000000514,,ENSG00000175591,P2RY2
ENSPMRG00000000515,,ENSG00000267041,ZNF850
ENSPMRG00000000516,,,
ENSPMRG00000000517,,,
